OBJECTID,SUB_DESCRIPTION,BUSINESS_NAME,BUSINESS_ADDRESS,EXPIRY_DATE,LICENSE_NUMBER,LICENSE_TYPE
436,B3 - Body Shop,HARBOUR COLLISION,25 MADISON AVE  HAMILTON ON,2022/06/28 00:00:00+00,14 284683 07 1R,Public Garage
437,A - New/Used Vehicle Sales,HARBOUR COLLISION INC.,5 HILLYARD ST  HAMILTON ON,2022/07/22 12:43:37+00,20 297813 01 1R,Public Garage
438,B2 - Motor Repair,HENRY'S  AUTOMOTIVE,1129 HWY 5 W  FLAMBOROUGH ON,2022/03/09 00:00:00+00,15 176854 06 1R,Public Garage
439,A - New/Used Vehicle Sales,HERA LEASING INC,259 LAKE AVE N  HAMILTON ON,2022/12/10 00:00:00+00,14 196059 07 1R,Public Garage
440,C - Service Station,HI-FI PLUS INC.,1154 RYMAL RD E  HAMILTON ON,2022/11/28 10:33:34+00,18 295004 02 1R,Public Garage
441,B2 - Motor Repair,HIGHLAND TIRE & AUTO SERVICE INC,202 FIRST RD W  STONEY CREEK ON,2022/09/24 11:13:01+00,15 287907 06 1R,Public Garage
442,B2 - Motor Repair,HIRSCH TRUCK REPAIR,789 WOODWARD AVE  HAMILTON ON,2022/10/24 09:17:08+00,17 292317 04 1R,Public Garage
443,B2 - Motor Repair,HI-TECH AUTO SERVICE LTD,275 BEACH RD  HAMILTON ON,2022/08/06 00:00:00+00,14 274846 07 1R,Public Garage
444,B2 - Motor Repair,HOMESTEAD AUTOMOTIVE,3130 HOMESTEAD DR  GLANBROOK ON,2022/11/08 00:00:00+00,14 232653 07 1R,Public Garage
445,B2 - Motor Repair,I.R.S. TRUCK & TRAILER REPAIR INC,348 FRUITLAND RD  STONEY CREEK ON,2022/08/31 00:00:00+00,14 276035 07 1R,Public Garage
446,Multiple Use Garage,IMAGE AUTOMOBILES INC ,155 CENTENNIAL PKWY N  HAMILTON ON,2022/11/19 00:00:00+00,15 124194 07 1R,Public Garage
