OBJECTID,SUB_DESCRIPTION,BUSINESS_NAME,BUSINESS_ADDRESS,EXPIRY_DATE,LICENSE_NUMBER,LICENSE_TYPE
694,Lunch Counter,COUNTRY STYLE,2 KING ST W  HAMILTON ON,2022/05/26 00:00:00+00,15 124975 07 1J,Eating Establishment
695,Restaurant Take-Out,COZY SUSHI,136 JAMES ST S  HAMILTON ON,2022/07/15 00:00:00+00,21 299188 00 1J,Eating Establishment
696,Restaurant Take-Out,CRAZY CRAVINGS INC.,1654 WILSON ST W  ANCASTER ON,2022/04/08 00:00:00+00,21 298866 00 1J,Eating Establishment
697,Restaurant with Liquor Service,CREPE COMPANY INC O/A  LE VERLAN,304 BARTON ST E  HAMILTON ON,2022/10/08 00:00:00+00,20 297651 01 1J,Eating Establishment
698,Restaurant Take-Out,CRONSBERRY ENTERPRISES O/A CHOCOLAT ON JAMES,123 JAMES ST N  HAMILTON ON,2022/07/08 00:00:00+00,14 287074 06 1J,Eating Establishment
699,Restaurant,CRUMBLED,339 BARTON ST E  HAMILTON ON L8L 2X6,2022/01/31 00:00:00+00,19 295503 02 1J,Eating Establishment
700,Restaurant,CRUMBLED,339 BARTON ST E  HAMILTON ON L8L 2X6,2023/01/14 00:00:00+00,22 299975 00 1J,Eating Establishment
701,Restaurant Take-Out,D & A PIZZA,15 LOCKPORT WAY  STONEY CREEK ON,2022/12/17 00:00:00+00,14 286944 06 1J,Eating Establishment
702,Restaurant with Liquor Service,DAILY FRESH FOODS INC O/A SHIRO RAMEN,1970 RYMAL RD E  GLANBROOK ON,2022/05/16 00:00:00+00,19 295767 02 1J,Eating Establishment
703,Restaurant,DAIRY QUEEN RESTAURANT,233 DUNDAS ST E  FLAMBOROUGH ON,2022/10/04 00:00:00+00,14 171481 07 1J,Eating Establishment
704,Restaurant,DANA HOSPITALITY GP INC.,55 JOHN ST N  HAMILTON ON,2022/01/30 00:00:00+00,19 297154 01 1J,Eating Establishment
705,Restaurant,DAVID-MAUR HOLDING CORP /TIM HORTONS,799 BARTON ST E  HAMILTON ON L8L 3B2,2022/04/03 00:00:00+00,16 125378 06 1J,Eating Establishment
